Working Directory: `C:\Users\Sami\Desktop\SRT\Code\Translation_to_keyboard_code`
Log File `./LogFiles/Log20200210_1156.txt` opened OK.
CSV File `./LogFiles/Log20200210_1156.csv` opened OK.
20200210_115630,1.546898,Information,3,1,1,0,In MC Loop, Realsense, Idx=38, Coord=[17.455168, 9.686807, 19.200001], FinalFingerPos=[-26.200001, 22.535168, -8.186807], Midi=[None]
20200210_115630,1.546917,Information,3,1,1,0,In MC Loop, Realsense, Idx=39, Coord=[17.543892, 9.686807, 19.200001], FinalFingerPos=[-26.200001, 22.623892, -8.186807], Midi=[None]
20200210_115630,1.546936,Information,3,1,1,0,In MC Loop, Realsense, Idx=40, Coord=[17.540783, 9.636355, 19.100002], FinalFingerPos=[-26.100002, 22.620783, -8.136355], Midi=[None]
20200210_115630,1.546955,Information,3,1,1,0,In MC Loop, Realsense, Idx=41, Coord=[17.629044, 9.636355, 19.100002], FinalFingerPos=[-26.100002, 22.709044, -8.136355], Midi=[None]
20200210_115630,1.546974,Information,3,1,1,0,In MC Loop, Realsense, Idx=42, Coord=[17.011208, 9.724619, 19.100002], FinalFingerPos=[-26.100002, 22.091208, -8.224619], Midi=[None]
20200210_115630,1.546994,Information,3,1,1,0,In MC Loop, Realsense, Idx=43, Coord=[17.188995, 9.775532, 19.200001], FinalFingerPos=[-26.200001, 22.268995, -8.275532], Midi=[None]
20200210_115630,1.547013,Information,3,1,1,0,In MC Loop, Realsense, Idx=44, Coord=[17.364258, 9.724619, 19.100002], FinalFingerPos=[-26.100002, 22.444258, -8.224619], Midi=[None]
20200210_115630,1.547033,Information,3,1,1,0,In MC Loop, Realsense, Idx=45, Coord=[17.452518, 9.724619, 19.100002], FinalFingerPos=[-26.100002, 22.532518, -8.224619], Midi=[None]
20200210_115630,1.547052,Information,3,1,1,0,In MC Loop, Realsense, Idx=46, Coord=[17.540783, 9.724619, 19.100002], FinalFingerPos=[-26.100002, 22.620783, -8.224619], Midi=[None]
20200210_115630,1.547071,Information,3,1,1,0,In MC Loop, Realsense, Idx=47, Coord=[17.536745, 9.673704, 19.000002], FinalFingerPos=[-26.000002, 22.616745, -8.173704], Midi=[None]
20200210_115630,1.547090,Information,3,1,1,0,In MC Loop, Realsense, Idx=48, Coord=[17.624546, 9.673704, 19.000002], FinalFingerPos=[-26.000002, 22.704546, -8.173704], Midi=[None]
20200210_115630,1.547109,Information,3,1,1,0,In MC Loop, Realsense, Idx=49, Coord=[17.011208, 9.812881, 19.100002], FinalFingerPos=[-26.100002, 22.091208, -8.312881], Midi=[None]
20200210_115630,1.547129,Information,3,1,1,0,In MC Loop, Realsense, Idx=50, Coord=[17.452518, 9.812881, 19.100002], FinalFingerPos=[-26.100002, 22.532518, -8.312881], Midi=[None]
20200210_115630,1.547148,Information,3,1,1,0,In MC Loop, Realsense, Idx=51, Coord=[17.448946, 9.761505, 19.000002], FinalFingerPos=[-26.000002, 22.528946, -8.261505], Midi=[None]
20200210_115630,1.547167,Information,3,1,1,0,In MC Loop, Realsense, Idx=52, Coord=[17.536745, 9.761505, 19.000002], FinalFingerPos=[-26.000002, 22.616745, -8.261505], Midi=[None]
20200210_115630,1.547187,Information,3,1,1,0,In MC Loop, Realsense, Idx=53, Coord=[17.531784, 9.710128, 18.900002], FinalFingerPos=[-25.900002, 22.611784, -8.210128], Midi=[None]
20200210_115630,1.547206,Information,3,1,1,0,In MC Loop, Realsense, Idx=54, Coord=[17.188995, 9.952980, 19.200001], FinalFingerPos=[-26.200001, 22.268995, -8.452980], Midi=[None]
20200210_115630,1.547225,Information,3,1,1,0,In MC Loop, Realsense, Idx=55, Coord=[17.277719, 9.952980, 19.200001], FinalFingerPos=[-26.200001, 22.357719, -8.452980], Midi=[None]
